product_category,transport_mode,weather_condition,distance_km,shipment_weight,shipment_volume,traffic_index,route_complexity_score,number_of_stops,driver_experience_years,origin_warehouse_load,destination_warehouse_load,processing_time_hours,fuel_price,holiday_flag,strike_flag,dispatch_delay_hours,handling_issues_count,documentation_delay_flag,delay_duration_hours
Clothing,Air,Clear,2666.19,472.36,1.0,9.1,3.93,1,15.42,0.65,1.1,32.47,88.55,0,0,4.3,1,0,90.29
Automobile,Air,Fog,478.19,274.24,3.31,4.15,4.25,3,19.75,1.2,0.97,19.13,107.21,0,0,7.77,0,0,44.85
Food,Sea,Storm,1462.98,251.89,4.54,1.57,2.45,1,5.49,0.99,0.8,28.7,108.63,0,0,15.14,1,0,74.4
Pharma,Road,Clear,1286.86,146.13,2.23,8.5,1.75,6,5.47,0.99,1.26,20.17,105.55,0,0,11.76,2,0,90.94
Electronics,Road,Storm,2013.89,2.69,4.63,9.23,6.21,2,17.44,1.33,0.59,41.71,71.71,1,0,12.0,3,1,131.91
Electronics,Sea,Rain,211.06,31.56,0.21,8.54,5.42,1,12.35,1.36,0.64,45.21,70.28,0,0,2.69,0,0,81.47
Furniture,Rail,Fog,1993.31,132.24,2.63,9.22,6.26,1,14.6,0.97,0.62,43.71,103.68,0,0,10.57,4,0,120.81
Furniture,Road,Rain,1096.52,271.23,1.36,6.18,2.16,1,0.77,0.81,0.96,21.12,75.86,0,0,8.61,1,1,80.73
Clothing,Air,Clear,2781.82,42.71,1.38,8.56,9.53,5,9.55,1.04,1.09,11.22,72.66,0,0,17.0,2,0,113.57
Pharma,Air,Clear,2554.22,486.05,4.4,9.5,4.72,7,5.93,0.44,0.41,29.47,72.64,0,0,2.45,2,0,102.6
Pharma,Road,Rain,1228.54,206.07,1.63,9.01,5.05,6,3.5,0.8,0.48,27.44,70.78,0,0,18.37,2,0,116.74
Automobile,Road,Storm,2979.03,158.84,0.21,6.28,5.92,9,10.62,1.09,0.44,4.01,104.77,0,0,11.89,0,0,127.06
Automobile,Air,Rain,203.23,263.07,2.74,7.72,7.21,0,5.9,1.22,1.08,40.98,119.0,0,0,15.94,3,0,85.39
Automobile,Road,Clear,2376.47,33.43,4.86,7.49,4.46,2,11.1,1.17,1.05,2.77,97.98,0,0,23.72,2,0,96.09
Furniture,Rail,Rain,1329.82,425.37,0.49,8.23,2.29,7,2.02,0.51,1.3,2.67,102.69,0,0,19.18,2,0,110.07
Pharma,Rail,Rain,1328.25,230.68,1.5,3.06,8.05,7,16.06,1.03,0.64,35.53,105.28,0,0,11.83,1,0,81.89
Pharma,Road,Clear,551.89,89.99,2.4,1.02,3.35,8,19.02,0.41,1.18,45.35,74.19,0,0,9.06,2,1,77.87
Electronics,Road,Clear,1568.9,81.71,4.17,5.59,4.99,6,12.77,1.02,0.64,33.81,102.72,1,0,21.19,3,0,102.07
Furniture,Road,Clear,299.92,181.12,1.42,7.89,6.69,4,3.28,1.2,1.2,37.78,112.75,1,0,3.61,0,0,86.58
Food,Road,Clear,1868.9,287.11,1.78,2.13,9.69,2,15.11,1.06,1.03,44.11,111.48,1,0,6.34,2,0,80.24
Furniture,Rail,Clear,762.69,209.04,1.98,5.8,1.3,7,17.63,1.05,0.8,16.3,84.83,0,0,20.87,2,0,85.48
Food,Road,Clear,2188.33,298.8,1.96,3.83,5.67,4,7.65,1.08,1.06,29.91,70.69,1,0,6.18,1,1,87.15
Electronics,Air,Storm,1841.72,353.03,1.08,8.54,9.43,4,10.52,0.8,1.31,17.87,103.19,0,0,4.3,3,0,118.82
Clothing,Road,Clear,2251.89,374.5,4.59,1.9,3.3,7,1.74,0.76,0.57,38.01,105.53,0,0,19.53,3,1,105.85
Pharma,Road,Clear,2261.74,201.08,3.99,8.63,2.01,7,11.18,0.83,1.04,38.44,116.85,0,0,10.54,1,0,103.5
Electronics,Road,Clear,630.29,358.78,4.88,6.5,6.37,7,1.43,0.55,1.49,23.85,74.27,0,0,21.22,3,0,95.21
Pharma,Road,Clear,51.99,71.61,1.92,9.28,2.37,3,7.37,0.84,1.26,37.1,118.0,0,1,7.41,2,0,84.14
Automobile,Road,Rain,1129.0,257.04,0.32,9.42,8.91,2,5.93,1.39,0.66,19.29,70.98,0,0,14.0,2,0,110.84
Clothing,Road,Clear,2761.25,37.18,0.67,8.28,7.51,5,4.07,0.65,1.24,32.98,92.13,1,0,7.35,1,0,112.23
Clothing,Sea,Rain,1754.8,122.81,1.85,5.77,2.09,4,17.13,0.82,0.89,15.69,90.29,0,0,20.03,3,0,96.08
Electronics,Rail,Rain,2196.13,292.01,4.56,2.28,6.2,9,12.27,1.08,1.24,6.9,70.6,0,0,7.75,0,0,90.27
Clothing,Road,Clear,2644.73,370.47,4.91,3.03,1.24,4,13.72,1.22,0.42,39.82,107.64,0,0,7.47,1,0,78.91
Food,Road,Rain,2722.87,48.56,4.13,4.76,8.61,4,10.1,0.31,1.33,2.56,70.84,0,0,13.03,3,0,101.78
Clothing,Road,Rain,1610.62,104.33,1.27,7.56,2.85,2,15.08,1.1,1.49,23.53,110.61,0,0,14.66,1,0,98.75
Pharma,Road,Clear,1645.78,495.96,3.33,5.9,7.59,6,7.72,0.47,0.83,45.95,85.88,0,0,5.49,4,0,91.58
Pharma,Road,Rain,2560.27,169.49,3.02,4.94,1.96,4,9.11,1.19,0.92,1.05,79.55,0,0,0.33,1,0,83.0
Pharma,Road,Storm,2432.08,142.74,4.13,5.3,5.25,3,2.12,0.46,0.52,44.96,94.85,0,0,4.62,1,0,100.72
Pharma,Road,Rain,2111.63,43.54,2.6,7.67,9.36,3,6.73,1.2,1.12,5.19,71.29,0,0,19.87,1,0,106.59
Food,Road,Clear,1833.17,347.73,1.66,1.31,1.67,6,2.56,1.43,0.39,27.96,78.21,0,0,21.28,1,0,74.63
Furniture,Road,Fog,1870.78,254.62,0.19,4.98,3.66,0,9.89,0.57,0.98,21.67,116.61,0,0,16.17,3,0,78.19
Automobile,Road,Clear,1120.59,79.62,4.0,6.15,8.04,7,18.81,0.31,0.8,10.27,115.6,0,0,6.35,1,1,90.69
Electronics,Rail,Clear,2530.71,316.82,2.7,6.3,5.17,0,16.32,0.43,0.54,34.38,80.99,0,0,4.52,2,0,81.44
Pharma,Road,Clear,1872.45,263.35,2.72,6.57,6.85,5,9.03,1.4,1.29,14.81,76.82,0,0,4.43,1,0,80.84
Clothing,Road,Rain,709.41,282.91,4.79,1.48,8.31,3,6.36,0.86,1.2,36.07,95.66,0,0,21.72,1,0,84.77
Pharma,Air,Storm,757.54,497.43,2.48,6.02,8.06,6,6.92,0.95,0.66,19.52,103.92,0,0,12.41,0,0,92.4
Clothing,Sea,Clear,2591.73,15.28,1.65,5.95,4.56,5,9.72,0.48,0.76,3.0,83.28,0,0,12.82,2,0,99.51
Automobile,Sea,Clear,1895.84,457.57,1.77,8.69,4.88,4,5.24,1.48,0.6,21.26,81.11,0,0,11.41,0,0,93.31
Automobile,Rail,Rain,1226.18,421.1,0.16,7.84,6.14,4,7.09,0.52,0.55,31.66,119.5,0,0,16.44,1,0,96.28
Automobile,Road,Fog,601.95,208.26,0.7,1.28,2.1,5,10.1,1.02,0.57,6.74,94.36,0,0,13.03,1,0,62.12
Clothing,Air,Clear,1850.14,440.59,0.31,6.0,8.83,6,16.9,0.98,0.46,39.75,114.27,0,0,15.36,1,0,93.99
Pharma,Rail,Storm,593.72,324.63,1.29,7.22,1.84,2,2.36,0.38,0.71,29.33,89.05,0,0,22.27,1,0,93.56
Automobile,Road,Clear,1436.99,444.79,0.42,6.22,2.66,2,8.39,1.5,1.13,43.52,73.07,0,0,18.06,1,0,87.16
Food,Air,Storm,2048.66,297.77,1.72,7.09,9.5,6,4.21,0.96,0.62,44.2,83.67,0,0,5.82,2,0,116.44
Clothing,Sea,Rain,1717.98,108.86,0.72,2.05,3.54,2,12.92,0.49,1.14,46.38,102.5,0,0,6.95,1,0,64.69
Clothing,Road,Clear,2770.19,288.53,4.6,2.52,3.2,6,11.63,1.21,1.22,21.26,97.21,0,0,19.26,1,0,87.55
Pharma,Road,Rain,167.18,90.35,4.7,6.24,4.83,1,11.76,0.77,0.71,16.71,87.92,0,0,12.34,0,0,69.79
Clothing,Road,Fog,875.39,71.27,3.06,8.21,7.52,7,10.89,1.1,0.37,40.91,95.73,0,0,3.17,3,0,99.43
Clothing,Road,Clear,218.4,327.38,4.05,1.23,4.3,8,14.8,0.57,1.16,32.28,119.85,0,0,1.54,3,1,73.63
Automobile,Road,Clear,624.08,473.79,3.42,4.93,8.87,5,3.5,1.41,0.47,17.96,104.83,0,0,3.99,1,0,59.75
Pharma,Air,Clear,415.75,294.66,4.07,9.93,2.34,1,4.12,0.35,0.63,43.06,102.75,0,0,10.66,4,0,74.0
Automobile,Rail,Clear,2211.35,398.1,3.24,7.89,2.06,8,14.32,0.32,1.01,13.09,97.77,0,0,1.03,1,1,106.35
Automobile,Road,Storm,1139.66,85.01,2.21,5.05,1.7,4,3.07,1.34,1.4,43.77,79.18,0,0,2.23,2,0,88.53
Pharma,Sea,Clear,2778.88,327.45,4.38,1.88,3.69,3,14.68,0.95,1.21,38.69,100.9,1,0,17.6,1,0,91.89
Electronics,Road,Storm,118.96,366.76,2.25,4.23,2.8,6,3.71,0.71,0.62,20.37,98.92,0,0,22.25,1,0,84.77
Automobile,Road,Clear,1976.13,21.77,2.04,2.39,5.15,5,19.84,0.47,1.28,17.82,109.35,0,0,1.28,4,0,72.88
Food,Rail,Fog,2913.11,49.48,3.16,9.29,9.96,3,1.38,0.37,0.79,42.49,86.35,0,0,4.84,1,0,123.98
Food,Rail,Clear,568.72,391.01,4.7,7.17,8.82,9,15.64,0.65,0.47,23.8,90.05,1,0,2.8,2,0,80.1
Clothing,Air,Clear,1355.18,220.54,2.27,8.7,9.05,1,5.02,1.27,0.67,37.06,119.61,0,0,13.75,3,0,97.09
Food,Sea,Clear,2120.58,203.38,2.92,9.08,8.48,3,6.81,0.53,1.29,31.32,87.35,0,0,19.13,3,0,115.5
Clothing,Rail,Storm,1917.76,460.26,2.51,6.46,3.45,0,18.28,1.48,0.75,9.33,97.51,0,0,10.48,1,0,87.44
Electronics,Sea,Clear,1719.78,495.99,4.56,1.06,3.04,7,6.48,1.25,0.76,43.38,85.99,0,0,0.79,1,0,78.41
Pharma,Road,Clear,1013.93,382.43,3.42,6.0,7.59,3,7.85,0.31,1.47,30.09,102.35,1,1,9.04,3,1,92.27
Pharma,Rail,Storm,2198.19,396.5,2.16,8.22,6.39,1,4.05,0.96,0.92,16.32,108.63,0,0,4.01,4,0,117.09
Pharma,Sea,Storm,1977.1,104.95,3.07,3.83,2.86,4,2.0,0.78,0.9,17.98,104.27,0,0,6.61,1,0,89.67
Food,Rail,Storm,530.26,96.92,0.86,9.35,9.71,0,2.61,0.83,1.18,12.1,98.04,0,0,2.7,3,0,93.22
Electronics,Road,Clear,2894.07,490.36,1.78,9.97,4.82,1,12.08,0.83,1.45,28.65,85.58,0,0,8.71,2,0,110.0
Food,Air,Clear,1689.24,347.85,3.71,5.94,8.33,7,1.41,1.32,1.49,9.79,99.22,0,0,13.29,2,1,108.51
Food,Air,Rain,1600.11,343.67,2.86,5.78,1.66,3,4.9,1.12,1.24,17.96,108.67,0,0,18.81,1,0,89.2
Electronics,Road,Clear,2552.3,143.81,1.64,6.9,1.32,8,8.17,0.65,1.35,45.16,77.75,1,0,9.14,3,0,104.01
Electronics,Sea,Clear,1939.22,443.35,1.88,6.1,5.1,9,2.62,0.92,1.39,3.07,92.15,0,0,0.04,1,0,96.34
Electronics,Road,Clear,269.71,23.18,4.07,2.44,2.07,3,15.09,0.88,1.19,34.89,113.77,0,1,16.11,1,0,67.32
Electronics,Road,Fog,1544.44,138.02,2.75,3.44,9.81,1,19.44,0.64,0.98,7.32,95.07,0,0,16.63,3,0,87.72
Pharma,Sea,Clear,2352.76,90.89,1.27,2.82,8.31,7,17.95,1.04,0.6,18.02,114.97,0,0,3.13,1,0,86.25
Furniture,Road,Rain,2114.94,355.84,1.55,1.65,5.09,9,19.1,1.06,1.17,27.96,74.18,1,0,11.65,4,0,113.43
Furniture,Road,Clear,2913.77,357.96,2.39,2.26,9.82,3,11.12,0.43,0.9,47.2,83.44,0,0,1.22,0,0,79.88
Electronics,Air,Rain,123.5,267.83,3.84,9.75,3.14,7,3.39,0.41,1.4,16.05,95.26,0,0,14.9,2,0,103.32
Furniture,Air,Rain,820.6,3.62,4.99,5.99,7.11,1,13.5,0.34,0.3,9.99,79.54,0,0,21.56,2,0,73.97
Furniture,Road,Clear,1670.01,437.0,1.01,2.13,1.16,3,1.66,1.01,1.4,30.41,98.73,0,0,9.86,3,0,68.12
Electronics,Sea,Clear,1877.49,477.84,3.8,7.42,4.35,0,9.78,1.5,1.44,23.35,94.04,0,0,11.3,1,0,91.54
Furniture,Air,Storm,859.35,101.95,3.12,5.29,1.71,7,15.89,1.39,0.56,13.25,116.79,0,0,22.93,0,0,95.34
Food,Air,Clear,2489.06,421.27,2.7,3.02,4.31,5,17.17,0.85,1.35,35.4,102.81,0,0,17.55,0,0,91.09
Clothing,Air,Storm,534.83,486.67,4.84,9.49,4.43,1,6.26,0.68,1.01,37.51,70.7,0,0,21.64,1,1,113.73
Clothing,Air,Rain,52.5,164.16,1.68,3.02,4.38,2,4.83,1.18,0.65,35.44,112.16,0,1,3.35,0,0,52.58
Electronics,Road,Rain,2859.55,93.34,0.97,1.88,4.73,5,13.94,0.7,1.11,40.2,102.39,0,0,11.29,0,0,99.99
Pharma,Road,Clear,1205.09,488.79,4.4,2.85,6.55,9,3.21,0.34,1.26,32.93,80.15,0,0,7.53,0,0,78.76
Electronics,Air,Clear,2874.59,30.81,0.44,9.21,2.7,8,19.88,0.92,0.81,33.13,82.35,0,0,14.9,2,0,116.97
Pharma,Rail,Rain,869.9,138.7,4.1,8.72,3.11,9,6.98,0.68,1.05,21.87,104.37,1,0,19.71,0,0,118.12
Clothing,Road,Clear,237.17,371.27,2.99,9.05,6.81,6,15.11,0.35,0.54,28.23,98.85,0,0,3.33,0,1,86.8
Electronics,Air,Fog,2328.93,309.06,0.9,9.25,5.2,8,14.65,1.21,0.34,33.05,91.96,0,0,17.57,2,0,121.7
Automobile,Rail,Fog,2515.67,342.57,1.21,1.7,2.46,9,6.55,0.99,1.42,25.45,85.79,0,0,13.57,1,0,103.11
Food,Road,Clear,1501.66,354.34,0.86,7.4,8.09,3,8.03,0.72,0.49,33.33,111.31,0,0,2.43,2,0,85.71
Furniture,Road,Clear,267.86,343.39,3.62,6.98,9.38,7,16.91,0.8,0.92,42.52,109.68,0,0,18.63,2,0,90.86
Pharma,Road,Clear,1979.7,171.78,0.82,9.94,5.19,1,4.95,0.39,0.4,21.11,113.24,0,0,13.27,2,1,100.95
Automobile,Air,Fog,587.32,156.44,3.44,7.43,6.53,1,1.67,0.45,1.33,21.74,110.24,0,0,7.51,1,0,78.1
Furniture,Road,Clear,2555.68,214.8,0.73,8.13,8.34,3,3.37,0.8,1.23,37.52,117.17,0,0,3.08,5,0,112.99
Furniture,Road,Clear,858.37,404.03,4.03,7.43,9.67,2,13.84,0.48,0.53,15.85,75.54,0,0,5.76,0,0,68.1
Electronics,Air,Rain,2550.73,469.2,4.61,6.59,9.72,7,5.13,0.53,1.28,4.62,95.67,0,0,13.23,5,0,113.65
Furniture,Air,Clear,1309.43,228.17,2.84,5.98,9.31,1,11.56,0.74,0.71,18.98,85.66,0,0,13.05,3,0,75.81
Food,Road,Clear,1809.64,43.8,4.83,9.72,8.34,3,8.17,0.93,1.31,25.15,89.34,0,0,22.34,1,0,123.73
Automobile,Road,Clear,2379.21,469.21,2.01,9.43,4.83,8,17.43,0.97,0.6,14.11,116.08,0,0,5.14,4,0,111.58
Furniture,Rail,Rain,169.3,41.13,1.3,4.94,7.03,8,10.01,0.89,0.87,32.68,109.37,0,0,4.6,0,0,78.02
Electronics,Sea,Clear,2472.44,80.4,0.97,3.56,7.87,3,3.22,0.39,0.61,26.27,71.62,0,0,20.28,2,0,91.96
Food,Sea,Rain,459.01,433.97,2.45,5.58,1.83,2,16.74,0.4,1.1,15.09,92.5,1,0,8.5,1,1,66.77
Clothing,Air,Storm,1107.33,276.19,0.74,7.72,2.05,0,2.11,0.55,0.37,9.05,82.25,0,0,9.17,2,0,74.45
Automobile,Road,Rain,1444.7,176.99,4.39,4.61,7.35,0,16.65,1.35,0.99,35.43,99.12,0,0,4.21,1,0,76.66
Furniture,Road,Rain,2691.51,465.52,3.95,5.84,7.0,7,1.31,0.43,1.18,1.05,85.98,0,0,6.27,2,1,114.04
Electronics,Road,Clear,116.2,480.29,2.85,3.69,8.23,8,0.57,1.17,0.53,18.22,94.17,0,0,20.84,0,0,81.95
Clothing,Road,Clear,1699.65,166.05,3.64,4.85,2.66,8,15.23,1.28,0.58,15.75,88.67,0,0,1.07,1,0,82.56
Clothing,Air,Clear,1945.44,434.34,0.34,9.62,9.43,4,11.42,0.43,1.17,6.73,71.81,0,0,14.08,2,0,102.97
Pharma,Road,Rain,983.92,339.59,1.1,2.93,3.15,1,4.69,1.02,0.8,46.21,84.73,0,0,19.09,1,0,75.8
Food,Road,Clear,906.94,137.97,3.14,9.9,2.22,6,19.34,1.22,1.05,16.45,104.11,0,0,21.75,4,0,115.42
Furniture,Sea,Clear,1496.88,470.77,2.44,2.94,3.92,3,12.92,1.26,0.81,40.98,111.59,0,0,15.49,3,0,89.01
Electronics,Road,Clear,601.95,32.47,3.06,3.87,8.28,9,5.15,0.33,0.8,22.62,110.02,0,0,2.42,0,1,72.78
Pharma,Road,Clear,1430.95,159.65,0.54,1.78,1.25,3,8.61,0.94,0.66,28.35,82.53,1,0,12.9,2,0,72.42
Food,Road,Rain,2306.82,198.73,3.3,7.77,3.04,3,18.31,0.52,1.0,28.91,110.66,0,0,14.47,1,0,105.75
Pharma,Air,Rain,2543.92,345.64,4.04,1.16,9.6,9,4.47,1.37,1.02,27.29,111.31,1,0,8.47,0,0,101.4
Automobile,Air,Clear,1186.23,20.18,2.78,8.09,1.15,2,18.57,0.86,1.2,45.14,96.26,0,0,18.98,0,0,85.49
Food,Road,Rain,1871.04,445.0,1.85,6.19,3.5,3,4.73,0.8,0.9,28.37,86.29,0,0,12.51,1,0,80.34
Food,Air,Clear,50.06,329.89,0.96,7.74,3.93,1,0.96,0.55,0.97,47.62,110.92,0,0,0.8,1,0,58.69
Furniture,Rail,Rain,1673.54,138.24,1.4,8.05,9.32,8,5.73,0.54,1.32,17.35,75.23,0,0,22.39,0,1,130.8
Food,Rail,Storm,2926.95,329.51,2.66,2.12,8.66,6,1.57,1.49,0.35,30.14,117.8,0,0,15.91,3,0,116.02
Pharma,Sea,Clear,971.18,268.93,1.35,1.19,5.14,0,5.04,0.38,0.92,45.42,86.75,0,0,22.74,2,0,76.75
Food,Rail,Clear,1804.59,168.8,3.91,2.52,3.86,4,5.8,0.35,0.45,32.63,76.58,0,0,14.68,2,1,78.54
Furniture,Air,Rain,2298.74,15.27,0.75,4.46,9.5,1,8.63,0.62,1.12,12.83,107.18,0,0,16.18,3,0,87.49
Furniture,Road,Fog,1846.35,276.0,2.63,1.66,2.69,2,6.01,0.74,1.37,40.35,92.08,1,0,3.43,1,0,77.0
Automobile,Road,Rain,1284.57,42.01,2.53,5.11,5.29,2,14.38,0.77,0.81,25.67,96.23,0,0,0.18,3,0,63.21
Pharma,Road,Storm,500.1,405.28,0.78,3.57,4.77,6,19.43,0.53,1.06,35.19,72.01,0,0,2.84,3,0,84.97
Clothing,Air,Storm,1417.92,45.17,4.98,4.27,9.42,2,1.43,1.43,0.74,2.23,85.73,0,0,4.97,5,0,83.1
Clothing,Rail,Rain,919.61,214.94,4.13,9.46,7.8,6,10.5,1.38,1.21,19.75,81.07,0,0,13.28,1,0,106.18
Food,Air,Rain,2102.96,217.84,1.99,7.52,5.17,7,5.6,0.9,1.01,31.07,90.72,0,0,5.91,1,0,101.13
Automobile,Road,Clear,1353.64,278.54,3.46,6.92,6.46,1,9.52,1.2,1.03,32.79,73.85,0,0,11.45,1,0,86.06
Electronics,Air,Rain,2557.15,20.71,3.61,6.88,9.17,0,14.24,0.57,0.51,26.27,81.96,1,0,19.8,0,0,91.77
Food,Sea,Rain,620.3,102.71,3.29,6.0,8.48,5,17.6,1.33,0.31,2.91,78.86,0,0,13.77,3,0,77.3
Automobile,Air,Rain,1282.27,100.55,2.22,5.62,6.54,8,17.79,0.79,1.05,38.62,84.7,0,0,13.45,4,0,101.16
Pharma,Rail,Clear,1694.64,299.89,4.44,8.94,9.24,5,3.68,0.46,0.43,30.65,94.05,0,0,22.77,3,0,121.68
Pharma,Rail,Clear,421.74,132.55,3.88,1.68,4.42,7,11.47,1.25,0.46,5.51,117.96,0,0,7.63,0,0,50.21
Pharma,Sea,Storm,1784.33,72.95,2.76,3.6,7.6,4,6.02,0.88,0.5,41.64,94.62,1,1,18.67,1,0,111.01
Pharma,Rail,Rain,908.22,10.16,0.11,1.94,1.15,7,10.21,1.03,0.78,30.31,117.66,0,1,20.9,0,0,84.81
Pharma,Rail,Fog,727.13,420.43,1.19,1.1,6.25,3,18.44,1.4,0.59,40.82,90.77,0,0,20.49,3,0,92.36
Automobile,Road,Clear,468.64,485.8,2.59,1.12,2.23,5,1.68,0.99,1.44,40.2,73.21,1,0,10.44,0,0,65.76
Automobile,Road,Clear,1082.15,351.93,4.5,1.22,5.72,7,12.09,0.62,1.11,33.53,80.51,0,0,13.49,2,0,77.97
Furniture,Air,Clear,2790.5,206.94,3.18,7.14,3.22,0,7.51,0.71,0.53,14.47,89.39,0,0,10.26,2,0,83.31
Clothing,Road,Storm,141.47,61.88,2.15,2.0,4.43,5,17.43,1.33,1.26,37.29,118.86,0,0,1.79,1,0,71.47
Pharma,Sea,Clear,2563.86,238.08,0.33,2.82,8.13,7,4.76,1.28,0.64,16.45,110.49,0,0,22.07,1,0,108.39
Electronics,Road,Fog,1222.21,229.2,3.03,4.77,1.53,4,6.99,1.19,1.26,17.04,73.5,0,0,17.42,2,0,84.27
Automobile,Sea,Clear,1706.72,210.52,1.82,3.42,5.84,2,0.9,0.45,0.86,32.35,78.68,1,0,19.38,4,0,92.81
Electronics,Road,Storm,1562.8,189.77,2.73,8.35,2.3,4,8.88,0.53,0.88,43.56,99.28,0,0,5.57,0,0,102.0
Electronics,Road,Storm,2780.93,248.88,3.86,6.61,6.16,2,12.85,1.14,0.76,21.98,118.14,0,0,13.93,2,0,111.5
Electronics,Sea,Storm,2321.88,37.52,4.04,4.0,6.7,5,4.33,0.63,0.6,27.4,90.49,1,0,3.54,4,0,112.79
Furniture,Road,Clear,2955.23,20.11,4.33,3.86,2.64,5,12.9,1.15,1.12,11.59,111.59,0,0,18.35,4,0,106.4
Automobile,Road,Rain,2393.57,32.92,3.22,7.15,1.05,4,15.02,1.13,0.9,32.5,86.32,0,0,5.12,3,0,98.82
Electronics,Road,Clear,922.87,100.8,4.54,2.54,1.77,6,4.25,1.01,0.31,15.48,79.73,1,0,13.02,0,0,67.14
Pharma,Air,Clear,2890.51,139.76,3.48,3.52,7.21,6,15.23,1.49,0.69,42.7,85.95,0,0,9.31,3,0,91.79
Food,Road,Clear,2951.52,85.56,3.94,4.18,4.42,5,18.69,1.35,1.22,1.09,101.02,0,0,21.67,1,0,96.69
Electronics,Air,Rain,413.13,126.71,3.46,5.09,4.36,5,4.84,0.44,0.65,23.49,99.56,0,0,11.01,1,0,67.88
Furniture,Air,Clear,2708.08,93.73,4.37,2.71,7.23,3,3.13,1.18,1.12,40.08,92.35,1,0,7.34,0,0,81.16
Automobile,Rail,Fog,2009.4,76.22,1.19,2.42,5.47,3,7.0,1.32,0.54,14.81,104.42,1,0,0.45,0,0,67.18
Furniture,Rail,Clear,2769.88,147.2,3.82,9.91,6.73,2,4.22,1.35,1.21,23.8,81.89,1,0,15.05,2,0,130.7
Electronics,Air,Clear,2751.43,199.36,0.67,9.22,9.27,9,15.62,0.92,0.81,5.97,74.04,0,0,12.11,2,0,120.0
Automobile,Road,Clear,2679.55,372.39,0.55,5.71,5.56,6,3.09,1.33,0.31,6.45,100.75,0,0,16.15,1,0,102.2
